Term,Definition,Source,Tags
Safe Harbor,"Intended for U.S. organizations that process personal data collected in the EU, the Safe Harbor Principles are designed to assist eligible organizations to comply with the EU Data Protection Directive and maintain the privacy and integrity of that data. NOTE: The EU Privacy Shield program is the successor of the EU US Safe Harbor program. Announced in Feb 2016 it became operational on the 1st August 2016",https://www.privacytrust.com/guidance/safe_harbor.html,Glossary
Sanctions Check,"In most countries, organizations are prohibited by law from doing business with drugs and arms merchants and terrorist organizations. Sanctions lists ranging from OFAC to the EU Consolidated Lists to the Interpol Most Wanted to the Hong Kong and Singapore Monetary Authority exist. Part of due diligence in vendor selection should include screening of the third party against sanctions lists.",should this be removed from the questionnaire? P.3.5,Glossary
Scoped Data,"A client’s non-public personal information (NPPI), protected health information (PHI), personal information (PI) or non-public information that is stored, transmitted or processed by the service provider. Scoped data may also include any data selected as being in scope by the organization or client at the scoping of the engagement. Any reference to scoped data includes protected scoped data, where applicable.",,Glossary
Scoped Privacy Data,"Any information relating to a data subject, who can be identified directly or indirectly, by that information, and in particular, by reference to an identification number or to one or more factors specific to his or her physical, physiological, mental, economic, cultural or social identity. Examples of scoped privacy data include name, address, telephone number and email address. Scoped privacy data may exist in any media or format. Any reference to scoped privacy data includes protected scoped privacy data, where applicable.",,Glossary
Scoped Systems and Data,"Computer hardware, software and/or Non-Public Personal Information that is stored, transmitted, or processed by the service provider in scope for the engagement.",,Glossary
Scoping Meeting,"A meeting held prior to commencement of a Shared Assessments engagement, to determine the Scoped Systems and Data to be included in a company's Standardized Information Gathering Questionnaire (SIG) and Agreed Upon Procedures (AUP) assessment.",,Glossary
Secure Code Review,The process of identifying whether software code meets the Assessee's security requirements.,,Glossary
Secure Perimeter,"A space fully enclosed by walls that surround the immediate perimeter and that extend from floor to ceiling (beyond raised floors and ceilings), which is contained, and whose points of entry are secured.",,Glossary
Secure Socket Layer (SSL),A protocol developed by Netscape for transmitting private documents via the Internet. SSL uses a cryptographic system with two keys to encrypt data: a public key known to everyone and a private or secret key known only to the recipient of the message.,,Glossary
Secure Workspace,"An environment from where people work from their desks with the purpose of accessing, editing or inputting Scoped Systems and Data on a computer, telephone or physical media, e.g., a BPO or call center environment.",,Glossary
Secure Workspace Perimeter,"A space fully enclosed by walls that surround the Secure Workspace which is contained, and whose points of entry and exit are secured.",,Glossary
Security Applicable Law,"Applicable laws, enactments, regulations, binding industry codes, regulatory permits and licenses which are in effect that address the protection, handling and security of scoped data and protected scoped data and that are determined to be in scope by the organization or client at the scoping of the engagement.",,Glossary
Security Architecture Risk Analysis,"Defines concepts, methods, and techniques for analyzing the architecture and design of software systems for security flaws.",,Glossary
Security Policy,A published document or set of documents defining requirements for one or more aspects of information security.,,Glossary
Segmentation / Separation (of data),see Data Segmentation / Separation,,Glossary
Sensitive customer financial information,"A customer’s name, address, or telephone number, in conjunction with the customer’s social security number, driver’s license number, account number, credit or debit card number, or a personal identification number or password that would permit access to the customer’s account. Sensitive customer information also includes any combination of components of customer information that would allow someone to log onto or access the customer’s account, such as user name and password or password and account number.",Interagency Guidance on Response Programs for Unauthorized Access to Customer Information and Customer Notice,Glossary
Sensitive Information,"Also known as “scoped data,” any customer data stored at the organization’s facility. This data may be stored in the form of physical media, digital media or any other storage medium.",,Glossary
Server,"A computer that makes services, such as access to data files, programs, and peripheral devices, available to workstations on a network.",,Glossary
Service Account,A service account is a user account that has been created to run a particular piece of software or service. The account belongs to the software application instead of to an individual end user.,,Glossary
Service Level Agreement (SLA),"An agreement that details the responsibilities of an IT service provider, the rights of the service provider’s customers, and the penalties assessed when the service provider violates any element of the SLA. SLAs also identify and define the service, plus the supported products, evaluation criteria, and quality of service customers should expect. SLAs are typically measured in terms of metrics. Examples include processing completion times and systems availability times.",FFIEC IT Examination Handbook Glossary,Glossary
Service Provider,"An subcontractor that provides outsourced services, such as data processing, business operations, applications, systems or staffing.",,Glossary
Service Set Identifier (SSID),A 32-character unique identifier attached to the header of packets sent over a wide area network to identify each packet as part of that network.,,Glossary
Simple Mail Transfer Protocol (SMTP),The de facto standard for email transmissions across the Internet.,,Glossary
Smoke Detector,A mechanical device that is sensitive to the presence of smoke or particulate material in the air that transmits a signal to a measuring or control instrument.,,Glossary
Software,Vendor developed software code used for custom or commercial-off-the-shelf purposes.,,Glossary
Software Architecture,"The process of defining a structured software solution that meets all of the technical and operational requirements, while optimizing common quality attributes such as performance, security, and manageability.",,Glossary
Software Security Group,"A group whose charter is to assist in the design, review and implementation of software that protects the information and resources contained in and controlled by that software.",,Glossary
Status Change,"Change to employment status that is recorded by human resources, such as promotions, demotions or departmental changes.",,Glossary
Stewardship,The act of managing and maintaining a given asset.,,Glossary
Storage Facility,The physical location where target systems and data are stored.,,Glossary
Strong Password,"Password length must be a minimum of seven (7) characters, must not to contain a common usage word or a word found in the English dictionary, may not contain user name, any part of a full name or access level of the user and must contain characters from at least three (3) of the following four (4) classes of characters:
 • Upper case letters (A, B, C, ….Z)
 • Lower case letters (a, b, c, ….z)
 • Numbers (0,1, 2, …9)
 • Non-alphanumeric (""special characters"") such as punctuation symbols",,Glossary
Subcontractor,is a business or an individual that signs a contract to perform part or all of the obligations of another's contract.,,Glossary
System Owner,The business unit that retains financial ownership or decision rights for the business use of the asset.,,Glossary
System Steward,The primary assigned administrator responsible for maintenance and day-to-day tasks that support the business.,,Glossary
Systems Development Life Cycle (SDLC),"A process for planning, creating, developing, testing and deploying a software application or information system.",,Glossary
Target System,Computer hardware and software in scope for the engagement that contains scoped data.,,Glossary
Third Party,"All entities or persons that work on behalf of the organization but are not its employees, including consultants, contingent workers, clients, business partners, service providers, subcontractors, vendors, suppliers, affiliates and any other person or entity that accesses Scoped Systems and Data.",,Glossary
Threat Impact Calculation Method,"A systematic method of determining the loss potential of a particular threat, based on the value of assets affected.",,Glossary
Threat Modeling,"Threat modeling allows you to systematically identify and rate the threats that are most likely to affect your system. By identifying and rating threats based on a solid understanding of the architecture and implementation of your application, you can address threats with appropriate countermeasures in a logical order, starting with the threats that present the greatest risk.

Threat modeling has a structured approach that is far more cost efficient and effective than applying security features in a haphazard manner without knowing precisely what threats each feature is supposed to address.",,Glossary
Threat Probability Calculation Method,"A systematic method of determining the potential for a particular threat to occur, based on the likelihood of the occurrence collected from internal staff, past records, and official security records.
 Threats x Vulnerability x Asset Value = Total Risk
 (Threats x Vulnerability x Asset Value) x Controls Gap = Residual Risk",,Glossary
Token,"A unique identifier generated on both a host and small, user-held device that allows the user to authenticate to the host.",,Glossary
Transmission Control Protocol (TCP),"A protocol of TCP/IP networks. TCP, the basic communication language (or protocol) of the Internet, enables two hosts to establish a connection and exchange streams of data.",,Glossary
True Ceiling,"The permanent overhead interior surface of a room, constructed of solid building materials offering resistance to and evidence of unauthorized entry.",,Glossary
True Floor,"The permanent bottom interior surface of a room, constructed of solid building materials offering resistance to and evidence of unauthorized entry.",,Glossary
Two-factor Authentication,"(aka multi-factor authentication ) The process of using two or more factors to achieve authentication. Factors include something you know (e.g., password or personal identification number); something you have (e.g., cryptographic identification device or token); and something you are (e.g., biometric).",FFIEC_CAT_App_C_Glossary_June_2015_PDF5,Glossary
UI,"In information technology, the user interface (UI) is everything designed into an information device with which a human being may interact -- including display screen, keyboard, mouse, light pen, the appearance of a desktop, illuminated characters, help messages, and how an application program or a Web site invites interaction and responds to it.",TechTarget,Glossary
Unapproved,Operating without consent.,,Glossary
Unidentified,Being or having an unknown or unnamed source.,,Glossary
Uninterruptible Power Supply (UPS),"A power supply consisting of a bank of batteries, which is continually charged. When power fails, the UPS becomes the source of electrical current for computer equipment until the batteries are discharged. A UPS is often connected to a generator that can provide electrical power indefinitely.",,Glossary
User Datagram Protocol (UDP),"A communications protocol within the Internet protocol suite. UDP, which uses a simple, connectionless transmission model with a minimum of protocol mechanism, performs similar functions as TCP (except datagrams are created instead of packets), but UDP lacks the flow-control and error-recovery functions, allowing for fewer system resources.",,Glossary
Vendor Management,"Vendor management is a discipline that enables organizations to control costs, drive service excellence and mitigate risks to gain increased value from their vendors throughout the deal life cycle.
Vendor risk management (VRM) is a comprehensive plan for identifying and decreasing potential business uncertainties and legal liabilities regarding the hiring of 3rd party vendors for information technology (IT) products and services. ",Gartner IT Glossary and TechTarget,Glossary
Vibration Alarm Sensor,An alarm that responds to vibrations in the surface onto which it is mounted. A normally closed switch momentarily opens when the sensor is subjected to a vibration of sufficiently large amplitude.,,Glossary
Virtual Machine (VM),"A virtual machine is a software computer that, like a physical computer, runs an operating system and applications. The virtual machine is comprised of a set of specification and configuration files and is backed by the physical resources of a host.",vmware.com,Glossary
Virtual Private Network (VPN),"A communication tunnel running through a shared network, such as the Internet, which uses encryption and other security mechanisms to ensure the data cannot be intercepted and that the data senders and receivers are authenticated.",,Glossary
Volumetric Alarm Sensor,"An alarm sensor designed and employed to detect an unauthorized person in a confined space when the space is normally unoccupied. Such alarms include ultrasonic, microwave, and infrared sensors.",,Glossary
Vulnerability,"A hardware, firmware, or software flaw that leaves an information system open to potential exploitation; a weakness in automated system security procedures, administrative controls, physical layout, internal controls, etc., that could be exploited to gain unauthorized access to information or to disrupt critical processing.",FFIEC IT Examination Handbook Glossary,Glossary
Vulnerability Management,Vulnerability management is the process in which vulnerabilities in IT are identified and the risks of these vulnerabilities are evaluated. This evaluation leads to correcting the vulnerabilities and removing the risk or a formal risk acceptance by the management of an organization (e.g. in case the impact of an attack would be low or the cost of correction does not outweigh possible damages to the organization).,Implementing a vulnerability management process - SANS Institute Reading Room,Glossary
War Walk,"Also known as ""war drive,"" using a laptop to ""sniff"" for wireless access points. War walking may be used to locate a public access point for personal use or as a controls assessment to identify access points that are inadequately secured and may indicate an elevated risk of breach.",,Glossary
Warm Site,A remote facility which replicates production data in set intervals.,,Glossary
Water Sensor,A mechanical device sensitive to the presence of water or moisture that transmits a signal to a measuring or control instrument.,,Glossary
Whistleblowing Policy,"A policy protecting anyone who has and reports insider knowledge of illegal activities occurring in an organization. Whistleblowers can be employees, suppliers, contractors, clients or any individual who somehow becomes aware of illegal activities taking place in a business, either through witnessing the behavior or being told about it.",,Glossary
Wireless Networks,"A wireless network, a.k.a. wireless local-area network (LAN), uses radio waves to connect devices such as laptops to the Internet and to your business network and its applications instead of physical cables like a wired network does. An example of wireless network is when you connect a laptop to a WiFi hotspot at a cafe, hotel, airport lounge or other public place you're connecting to that business's wireless network.",,Glossary
Workstation,"(1) Single-user computers typically linked together to form a local area network, that can also be used as standalone systems. (2) In networking, any computer connected to a local area network, including a workstation or personal computer.",,Glossary
XSS,Cross-site scripting (XSS) is a type of computer security vulnerability typically found in web applications. XSS enables attackers to inject client-side scripts into web pages viewed by other users. A cross-site scripting vulnerability may be used by attackers to bypass access controls such as the same-origin policy.,Wikipedia,Glossary
